EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;05/03/2011;7;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;4;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;C;;08/03/2011;9;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;4;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;C;;09/03/2011;9;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;5;SUDROGUERIA;CR 20 #50 74;SUDROG01;C;;08/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;5;SUDROGUERIA;CR 20 #50 74;SUDROG01;C;;09/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;34;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;C;;04/03/2011;4;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;34;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;C;;05/03/2011;4;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;34;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;C;;07/03/2011;4;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;34;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;C;;08/03/2011;4;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;34;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;C;;09/03/2011;4;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;39;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;04/03/2011;10;;;525;;NDI;Q HUBO
